apple
ball
cat
dog
eat
fun
go
happy
ice
jump
kite
lion
milk
nose
open
play
queen
run
sun
tree
up
van
water
xylophone
yellow
zoo
bird
book
car
door
egg
fish
girl
house
ink
joy
key
lamp
moon
nest
orange
pig
quiet
read
star
table
umbrella
violet
walk
box
yard
zebra
blue
